k,imbalance,lat,lon,region
32,10,40.650021,-73.915548,0
32,10,40.650025,-73.898728,0
32,10,40.650049,-73.931213,0
32,10,40.650085,-73.9610087,1
32,10,40.650109,-73.930206,0
32,10,40.650147,-74.005074,2
32,10,40.650172,-73.929198,0
32,10,40.6501936,-74.0157764,2
32,10,40.650199,-73.9599573,1
32,10,40.650201,-73.919621,0
32,10,40.650228,-73.928265,0
32,10,40.650244,-73.902734,0
32,10,40.6502747,-73.9719827,1
32,10,40.650282,-73.997818,2
32,10,40.6502868,-73.9755873,1
32,10,40.650288,-73.927295,0
32,10,40.650292,-73.978716,2
32,10,40.650298,-73.966145,1
32,10,40.6503372,-74.0084048,2
32,10,40.650342,-73.97461,1
32,10,40.65035,-73.926326,0
32,10,40.650353,-73.885721,3
32,10,40.6503564,-74.0115171,2
32,10,40.6503618,-73.9586806,1
32,10,40.650403,-73.894213,3
32,10,40.650407,-73.925392,0
32,10,40.6504449,-74.0192052,2
32,10,40.650448,-73.911101,0
32,10,40.650469,-73.924421,0
32,10,40.650479,-73.909631,0
32,10,40.6504834,-73.89802,0
32,10,40.650484,-73.914835,0
32,10,40.65053,-73.9234552,0
32,10,40.65053,-73.955825,1
32,10,40.65057,-73.9548,1
32,10,40.650587,-73.922519,0
32,10,40.650637,-73.977833,2
32,10,40.650642,-73.965262,1
32,10,40.650644,-73.921585,0
32,10,40.650655,-73.952951,1
32,10,40.65066,-73.918907,0
32,10,40.65067,-73.952469,1
32,10,40.650686,-73.973727,1
32,10,40.6506997,-73.972397,1
32,10,40.650701,-73.962645,1
32,10,40.650706,-74.00449,2
32,10,40.650716,-73.951378,1
32,10,40.650765,-73.884806,3
32,10,40.65077,-73.920255,0
32,10,40.650773,-74.015184,2
32,10,40.6507754,-73.9758646,1
32,10,40.650807,-73.949571,1
32,10,40.650855,-73.948591,1
32,10,40.6508701,-73.9088131,0
32,10,40.650899,-73.947656,1
32,10,40.650944,-73.905968,0
32,10,40.650945,-73.914122,0
32,10,40.650948,-73.946674,1
32,10,40.650969,-73.976976,1
32,10,40.6509699,-73.9612029,1
32,10,40.6509824,-74.0079544,2
32,10,40.651005,-73.964355,1
32,10,40.651006,-73.945706,1
32,10,40.6510128,-74.0186077,2
32,10,40.651014,-73.91023,0
32,10,40.651064,-73.94477,1
32,10,40.651098,-73.920622,0
32,10,40.651106,-73.9438,1
32,10,40.65111,-73.942826,1
32,10,40.6511216,-74.0112864,2
32,10,40.651158,-73.918137,0
32,10,40.6511629,-73.9628522,1
32,10,40.651169,-73.941891,1
32,10,40.6511821,-73.8900427,3
32,10,40.6511956,-73.9235115,0
32,10,40.6511961,-73.9589005,1
32,10,40.6512242,-73.9712491,1
32,10,40.651229,-73.940957,1
32,10,40.6512409,-73.9579778,1
32,10,40.6512515,-73.9225891,0
32,10,40.6512567,-73.8988783,0
32,10,40.651266,-74.003908,2
32,10,40.651276,-73.940025,1
32,10,40.651326,-73.939051,1
32,10,40.651331,-73.883492,3
32,10,40.651333,-74.014596,2
32,10,40.651333,-73.907784,0
32,10,40.6513508,-73.9558964,1
32,10,40.651353,-73.892743,3
32,10,40.651364,-73.963442,1
32,10,40.651376,-73.938081,1
32,10,40.6513787,-73.8654904,3
32,10,40.6513826,-73.8896291,3
32,10,40.651407,-73.913407,0
32,10,40.651421,-73.937146,1
32,10,40.651433,-73.975814,1
32,10,40.651461,-74.0072362,2
32,10,40.651469,-73.936175,1
32,10,40.6514797,-74.0103369,2
32,10,40.6514968,-73.8991197,0
32,10,40.651514,-73.935204,1
32,10,40.651522,-73.909449,0
32,10,40.651532,-73.96302,1
32,10,40.651546,-73.952563,1
32,10,40.651563,-73.934268,0
32,10,40.6515747,-74.0180164,2
32,10,40.651592,-73.98111,2
32,10,40.651606,-73.933296,0
32,10,40.651648,-73.932325,0
32,10,40.651654,-73.91737,0
32,10,40.65169,-73.931392,0
32,10,40.651698,-73.949669,1
32,10,40.651716,-73.882696,3
32,10,40.6517286,-73.9724237,1
32,10,40.651733,-73.958054,1
32,10,40.651734,-73.930381,0
32,10,40.6517367,-73.8888045,3
32,10,40.651742,-73.965242,1
32,10,40.651749,-73.948674,1
32,10,40.651783,-73.974883,1
32,10,40.651798,-73.947743,1
32,10,40.65183,-74.003327,2
32,10,40.651854,-73.946776,1
32,10,40.651867,-73.912692,0
32,10,40.651877,-73.904551,0
32,10,40.651881,-73.895861,0
32,10,40.651895,-74.014012,2
32,10,40.651939,-73.929392,0
32,10,40.6520031,-73.8879152,3
32,10,40.6520249,-73.9703306,1
32,10,40.652032,-73.979994,2
32,10,40.6520948,-73.8660542,3
32,10,40.6521011,-74.0067911,2
32,10,40.652117,-73.916654,0
32,10,40.652128,-73.974,1
32,10,40.6521317,-73.8998707,0
32,10,40.6521362,-74.0174256,2
32,10,40.652145,-73.959151,1
32,10,40.6521694,-73.9613939,1
32,10,40.652176,-73.928475,0
32,10,40.652253,-74.0101062,2
32,10,40.6522609,-73.9767819,1
32,10,40.652271,-73.920746,0
32,10,40.6523034,-73.8663659,3
32,10,40.652312,-73.908216,0
32,10,40.652318,-73.927514,0
32,10,40.6523514,-73.8871044,3
32,10,40.652365,-73.891366,3
32,10,40.65237,-73.882292,3
32,10,40.652378,-73.979115,2
32,10,40.652385,-74.002751,2
32,10,40.652392,-73.926547,0
32,10,40.652437,-73.911815,0
32,10,40.652446,-73.92561,0
32,10,40.652451,-73.96344,1
32,10,40.652453,-74.01343,2
32,10,40.6524552,-73.8871814,3
32,10,40.652463,-73.9228623,0
32,10,40.65249,-73.952664,1
32,10,40.652491,-73.921784,0
32,10,40.6525,-73.965751,1
32,10,40.6525,-73.92464,0
32,10,40.652538,-73.923666,0
32,10,40.652556,-73.960423,1
32,10,40.652577,-73.915941,0
32,10,40.6525813,-74.0060713,2
32,10,40.652596,-73.920208,0
32,10,40.652603,-74.0091675,2
32,10,40.652637,-73.981297,2
32,10,40.652642,-73.949769,1
32,10,40.6526571,-73.9726485,1
32,10,40.6526992,-73.9566502,1
32,10,40.6527017,-73.8862449,3
32,10,40.652715,-73.890598,3
32,10,40.652721,-73.97823,2
32,10,40.6527223,-73.956053,1
32,10,40.652735,-73.976082,1
32,10,40.652796,-73.946873,1
32,10,40.652809,-73.909335,0
32,10,40.6528329,-73.9624671,1
32,10,40.652844,-73.9074,0
32,10,40.6528504,-73.8666749,3
32,10,40.652855,-73.945905,1
32,10,40.652915,-73.94497,1
32,10,40.652928,-73.959329,1
32,10,40.652951,-73.911016,0
32,10,40.652956,-74.002144,2
32,10,40.652973,-73.944002,1
32,10,40.6529916,-73.9620414,1
32,10,40.6530059,-73.8820204,3
32,10,40.653016,-74.012844,2
32,10,40.653033,-73.943029,1
32,10,40.653039,-73.915226,0
32,10,40.653067,-73.889788,3
32,10,40.653089,-73.898334,0
32,10,40.653091,-73.942098,1
32,10,40.6531,-73.975136,1
32,10,40.6531442,-73.9227662,0
32,10,40.653149,-73.941164,1
32,10,40.6531653,-73.961587,1
32,10,40.653189,-73.966213,1
32,10,40.653207,-73.94023,1
32,10,40.6532204,-73.8853918,3
32,10,40.653228,-73.976995,1
32,10,40.653253,-73.922555,0
32,10,40.653263,-73.963812,1
32,10,40.653267,-73.93926,1
32,10,40.653289,-73.919185,0
32,10,40.653327,-73.93829,1
32,10,40.6533323,-73.8814206,3
32,10,40.653342,-73.97949,2
32,10,40.6533519,-74.0058791,2
32,10,40.6533681,-74.0089529,2
32,10,40.653379,-73.906571,0
32,10,40.653386,-73.937356,1
32,10,40.653416,-73.981453,2
32,10,40.6534171,-73.8846251,3
32,10,40.653419,-73.888969,3
32,10,40.653445,-73.936386,1
32,10,40.653445,-73.974251,1
32,10,40.653501,-73.914511,0
32,10,40.653502,-73.976227,1
32,10,40.653505,-73.935416,1
32,10,40.653521,-73.910144,0
32,10,40.653563,-73.934483,0
32,10,40.653573,-74.012266,2
32,10,40.653575,-73.959451,1
32,10,40.6535856,-73.9228526,0
32,10,40.653608,-73.920876,0
32,10,40.6536262,-73.9335102,0
32,10,40.6536338,-73.8977851,0
32,10,40.653667,-73.978653,2
32,10,40.6536831,-73.9325387,0
32,10,40.6536987,-73.9223828,0
32,10,40.653711,-73.892457,3
32,10,40.653742,-73.931608,0
32,10,40.653745,-73.918473,0
32,10,40.653752,-73.901651,0
32,10,40.6537549,-73.8817284,3
32,10,40.653769,-73.888156,3
32,10,40.653777,-73.956164,1
32,10,40.6537844,-73.9221916,0
32,10,40.6538018,-74.0050489,2
32,10,40.6538047,-74.01567,2
32,10,40.653805,-73.930604,0
32,10,40.65381,-73.896782,0
32,10,40.6538532,-73.8652244,3
32,10,40.653862,-73.929594,0
32,10,40.6538853,-73.9730495,1
32,10,40.653923,-73.928662,0
32,10,40.6539299,-73.9718777,1
32,10,40.653976,-73.9127327,0
32,10,40.653978,-73.952824,1
32,10,40.653985,-73.927694,0
32,10,40.653995,-73.964145,1
32,10,40.654003,-73.979926,2
32,10,40.654044,-73.926721,0
32,10,40.6540525,-73.9151198,0
32,10,40.654067,-74.000995,2
32,10,40.6540717,-73.9617537,1
